Frame path,Ground truth
../Data/Crohn2020_consensus/imgs_consensus/00001.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00002.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00003.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00004.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00005.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00006.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00007.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00008.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00009.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00010.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00011.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00012.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00013.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00014.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00015.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00016.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00017.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00018.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00019.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00020.jpg,0
../Data/Crohn2020_consensus/imgs_consensus/00021.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00022.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00023.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00024.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00025.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00026.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00027.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00028.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00029.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00030.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00031.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00032.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00033.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00034.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00035.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00036.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00037.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00038.jpg,1
../Data/Crohn2020_consensus/imgs_consensus/00039.jpg,0
